q,index,sigma
101,45,0.056008457915766266
101,46,0.05600845791576625
101,47,0.05600845791576625
101,48,0.05600845791576624
101,49,0.05600845791576624
101,50,0.056008457915766224
101,51,0.05600845791576622
101,52,0.05600845791576622
101,53,0.05600845791576622
101,54,0.05600845791576621
101,55,0.056008457915766204
101,56,0.05600845791576619
101,57,0.05600845791576618
101,58,0.05600845791576618
101,59,0.05600845791576617
101,60,0.05600845791576617
101,61,0.05600845791576617
101,62,0.05600845791576617
101,63,0.05600845791576617
101,64,0.05600845791576616
101,65,0.05600845791576615
101,66,0.05600845791576615
101,67,0.05600845791576614
101,68,0.05600845791576614
101,69,0.05600845791576613
101,70,0.05600845791576612
101,71,0.05600845791576612
101,72,0.05600845791576612
101,73,0.056008457915766106
101,74,0.056008457915766106
101,75,0.056008457915766106
101,76,0.0560084579157661
101,77,0.056008457915766086
101,78,0.05600845791576607
101,79,0.05600845791576607
101,80,0.056008457915766065
101,81,0.05600845791576606
101,82,0.05600845791576606
101,83,0.05600845791576606
101,84,0.05600845791576605
101,85,0.056008457915766044
101,86,0.05600845791576604
101,87,0.05600845791576603
101,88,0.056008457915766016
101,89,0.056008457915765995
101,90,0.05600845791576599
101,91,0.056008457915765975
101,92,0.05600845791576597
101,93,0.05600845791576597
101,94,0.05600845791576596
101,95,0.056008457915765954
101,96,0.05600845791576592
101,97,0.056008457915765884
101,98,0.056008457915765884
101,99,0.056008457915765836
101,100,0.05600845791576573
151,0,0.23150408335031172
151,1,0.20130707488173064
151,2,0.2013070748817306
151,3,0.16582760298740287
151,4,0.16582760298740282
151,5,0.12048612846794869
151,6,0.12048612846794868
151,7,0.038043461235351295
151,8,0.03804346123535127
151,9,0.03804346123535125
151,10,0.038043461235351246
151,11,0.03804346123535122
151,12,0.0380434612353512
151,13,0.037462610923791106
151,14,0.037462610923791086
151,15,0.037462610923791044
151,16,0.03746261092379101
151,17,0.03746261092379096
151,18,0.037462610923790954
151,19,0.03746261092379095
151,20,0.03746261092379094
151,21,0.03746261092379093
151,22,0.037462610923790926
151,23,0.03746261092379092
151,24,0.037462610923790905
151,25,0.0374626109237909
151,26,0.03746261092379089
151,27,0.03746261092379089
151,28,0.03746261092379087
151,29,0.03746261092379087
151,30,0.037462610923790864
151,31,0.037462610923790864
151,32,0.03746261092379086
151,33,0.03746261092379085
151,34,0.03746261092379085
151,35,0.03746261092379084
151,36,0.037462610923790836
151,37,0.03746261092379083
151,38,0.03746261092379082
151,39,0.037462610923790815
151,40,0.037462610923790815
151,41,0.037462610923790815
151,42,0.03746261092379081
151,43,0.03746261092379081
151,44,0.037462610923790794
151,45,0.037462610923790794
151,46,0.037462610923790794
151,47,0.03746261092379079
